Timestamp,Sensor Data,Value,Node
2026-04-05 17:03:57,battery_voltage (V),4.16,W096
2026-04-05 17:33:58,battery_voltage (V),4.16,W096
2026-04-05 18:03:58,battery_voltage (V),4.16,W096
2026-04-05 18:33:57,battery_voltage (V),4.15,W096
2026-04-05 19:03:55,battery_voltage (V),4.15,W096
2026-04-05 19:33:54,battery_voltage (V),4.14,W096
2026-04-05 20:03:58,battery_voltage (V),4.14,W096
2026-04-05 20:33:57,battery_voltage (V),4.14,W096
2026-04-05 21:04:01,battery_voltage (V),4.14,W096
2026-04-05 22:03:55,battery_voltage (V),4.13,W096
2026-04-05 22:34:01,battery_voltage (V),4.13,W096
2026-04-05 23:04:00,battery_voltage (V),4.13,W096
2026-04-05 23:33:57,battery_voltage (V),4.12,W096
2026-04-06 00:04:03,battery_voltage (V),4.12,W096
2026-04-06 00:33:58,battery_voltage (V),4.12,W096
2026-04-06 01:03:56,battery_voltage (V),4.12,W096
2026-04-06 01:34:02,battery_voltage (V),4.12,W096
2026-04-06 02:04:02,battery_voltage (V),4.11,W096
2026-04-06 02:34:01,battery_voltage (V),4.11,W096
2026-04-06 03:04:03,battery_voltage (V),4.11,W096
2026-04-06 03:33:56,battery_voltage (V),4.1,W096
2026-04-06 04:04:04,battery_voltage (V),4.1,W096
2026-04-06 04:34:01,battery_voltage (V),4.1,W096
2026-04-06 05:03:56,battery_voltage (V),4.09,W096
2026-04-06 05:34:02,battery_voltage (V),4.09,W096
2026-04-06 06:04:00,battery_voltage (V),4.08,W096
2026-04-06 06:33:54,battery_voltage (V),4.08,W096
2026-04-06 07:04:04,battery_voltage (V),4.08,W096
2026-04-06 07:34:04,battery_voltage (V),4.08,W096
2026-04-06 08:04:04,battery_voltage (V),4.1,W096
2026-04-06 08:34:04,battery_voltage (V),4.12,W096
2026-04-06 09:03:56,battery_voltage (V),4.15,W096
2026-04-06 09:34:02,battery_voltage (V),4.17,W096
2026-04-06 10:03:58,battery_voltage (V),4.14,W096
2026-04-06 10:34:01,battery_voltage (V),4.19,W096
2026-04-06 11:04:02,battery_voltage (V),4.16,W096
2026-04-06 11:33:56,battery_voltage (V),4.16,W096
2026-04-06 12:04:02,battery_voltage (V),4.16,W096
2026-04-06 12:33:55,battery_voltage (V),4.16,W096
2026-04-06 13:04:03,battery_voltage (V),4.16,W096
2026-04-06 13:34:03,battery_voltage (V),4.17,W096
2026-04-06 14:04:02,battery_voltage (V),4.17,W096
2026-04-06 15:04:03,battery_voltage (V),4.17,W096
2026-04-06 15:33:58,battery_voltage (V),4.17,W096
2026-04-06 16:03:57,battery_voltage (V),4.16,W096
2026-04-06 16:34:05,battery_voltage (V),4.16,W096
2026-04-06 17:04:00,battery_voltage (V),4.16,W096
2026-04-06 17:34:04,battery_voltage (V),4.16,W096
2026-04-06 18:04:00,battery_voltage (V),4.15,W096
2026-04-06 18:33:56,battery_voltage (V),4.15,W096
2026-04-06 19:04:05,battery_voltage (V),4.15,W096
2026-04-06 19:34:02,battery_voltage (V),4.14,W096
2026-04-06 20:04:04,battery_voltage (V),4.14,W096
2026-04-06 20:33:54,battery_voltage (V),4.14,W096
2026-04-06 21:04:00,battery_voltage (V),4.13,W096
2026-04-06 21:33:54,battery_voltage (V),4.13,W096
2026-04-06 22:34:00,battery_voltage (V),4.13,W096
2026-04-06 23:03:55,battery_voltage (V),4.12,W096
2026-04-06 23:33:59,battery_voltage (V),4.12,W096
2026-04-07 00:04:02,battery_voltage (V),4.12,W096
2026-04-07 00:33:59,battery_voltage (V),4.12,W096
2026-04-07 01:03:58,battery_voltage (V),4.11,W096
2026-04-07 01:33:58,battery_voltage (V),4.11,W096
2026-04-07 02:33:59,battery_voltage (V),4.11,W096
2026-04-07 03:03:56,battery_voltage (V),4.1,W096
2026-04-07 03:33:59,battery_voltage (V),4.1,W096
2026-04-07 04:04:01,battery_voltage (V),4.1,W096
2026-04-07 04:34:02,battery_voltage (V),4.09,W096
2026-04-07 05:04:03,battery_voltage (V),4.09,W096
2026-04-07 05:33:55,battery_voltage (V),4.08,W096
2026-04-07 06:04:03,battery_voltage (V),4.08,W096
2026-04-07 06:34:04,battery_voltage (V),4.08,W096
2026-04-07 07:04:02,battery_voltage (V),4.08,W096
2026-04-07 07:33:59,battery_voltage (V),4.1,W096
2026-04-07 08:03:56,battery_voltage (V),4.12,W096
2026-04-07 08:33:59,battery_voltage (V),4.15,W096
2026-04-07 09:04:01,battery_voltage (V),4.17,W096
2026-04-07 09:33:56,battery_voltage (V),4.14,W096
